r,t,y,NewCapacity
RE1,PWRDSL,2048,0.0
RE1,PWRDSL,2049,0.0
RE1,PWRDSL,2050,0.0
RE1,PWRWND,2020,0.0
RE1,PWRWND,2021,0.0
RE1,PWRWND,2022,0.0202
RE1,PWRWND,2023,0.0212
RE1,PWRWND,2024,0.0223
RE1,PWRWND,2025,0.0234
RE1,PWRWND,2026,0.0246
RE1,PWRWND,2027,0.0
RE1,PWRWND,2028,0.0
RE1,PWRWND,2029,0.0
RE1,PWRWND,2030,0.0
RE1,PWRWND,2031,0.0
RE1,PWRWND,2032,0.0
RE1,PWRWND,2033,0.0
RE1,PWRWND,2034,0.0
RE1,PWRWND,2035,0.0
RE1,PWRWND,2036,0.0
RE1,PWRWND,2037,0.0
RE1,PWRWND,2038,0.0
RE1,PWRWND,2039,0.4161
RE1,PWRWND,2040,0.0
RE1,PWRWND,2041,0.0658
RE1,PWRWND,2042,0.265
RE1,PWRWND,2043,0.2702
RE1,PWRWND,2044,0.2261
RE1,PWRWND,2045,0.3774
RE1,PWRWND,2046,0.3471
RE1,PWRWND,2047,0.6673
RE1,PWRWND,2048,0.0893
RE1,PWRWND,2049,0.0
RE1,PWRWND,2050,0.0
RE1,PWRTRN,2020,0.0
RE1,PWRTRN,2021,0.0
RE1,PWRTRN,2022,1.1698
RE1,PWRTRN,2023,0.4327
RE1,PWRTRN,2024,0.4355
RE1,PWRTRN,2025,0.4125
RE1,PWRTRN,2026,0.3017
RE1,PWRTRN,2027,0.6263
RE1,PWRTRN,2028,0.4636
RE1,PWRTRN,2029,0.4561
RE1,PWRTRN,2030,0.4802
RE1,PWRTRN,2031,0.509
RE1,PWRTRN,2032,0.5178
RE1,PWRTRN,2033,0.5367
RE1,PWRTRN,2034,0.5409
RE1,PWRTRN,2035,0.5499
RE1,PWRTRN,2036,0.5612
RE1,PWRTRN,2037,0.5724
RE1,PWRTRN,2038,0.5825
RE1,PWRTRN,2039,0.5935
RE1,PWRTRN,2040,0.5827
RE1,PWRTRN,2041,0.5311
RE1,PWRTRN,2042,0.527
RE1,PWRTRN,2043,0.5221
RE1,PWRTRN,2044,0.5166
RE1,PWRTRN,2045,0.5023
RE1,PWRTRN,2046,0.4898
RE1,PWRTRN,2047,0.469
RE1,PWRTRN,2048,0.4625
RE1,PWRTRN,2049,0.4474
RE1,PWRTRN,2050,0.4162
RE1,PWRBIO001,2020,0.0
RE1,PWRBIO001,2021,0.0
RE1,PWRBIO001,2022,0.1681
RE1,PWRBIO001,2023,0.0826
RE1,PWRBIO001,2024,0.0
RE1,PWRBIO001,2025,0.0
RE1,PWRBIO001,2026,0.0
RE1,PWRBIO001,2027,0.0
RE1,PWRBIO001,2028,0.0
RE1,PWRBIO001,2029,0.0
RE1,PWRBIO001,2030,0.0
RE1,PWRBIO001,2031,0.0
RE1,PWRBIO001,2032,0.0
RE1,PWRBIO001,2033,0.0
RE1,PWRBIO001,2034,0.0533
RE1,PWRBIO001,2035,0.0658
RE1,PWRBIO001,2036,0.079
RE1,PWRBIO001,2037,0.0948
RE1,PWRBIO001,2038,0.1137
RE1,PWRBIO001,2039,0.1364
RE1,PWRBIO001,2040,0.0
RE1,PWRBIO001,2041,0.3602
RE1,PWRBIO001,2042,0.0
RE1,PWRBIO001,2043,0.0
RE1,PWRBIO001,2044,0.0966
RE1,PWRBIO001,2045,0.2913
RE1,PWRBIO001,2046,0.3387
RE1,PWRBIO001,2047,0.8274
RE1,PWRBIO001,2048,0.3346
RE1,PWRBIO001,2049,0.4464
RE1,PWRBIO001,2050,0.1114
RE1,IMPPET,2020,94.855
RE1,IMPPET,2021,98.464
RE1,IMPPET,2022,129.5514
RE1,IMPPET,2023,160.6389
RE1,IMPPET,2024,191.7263
RE1,IMPPET,2025,222.8138
RE1,IMPPET,2026,253.9012
RE1,IMPPET,2027,284.9887
RE1,IMPPET,2028,316.0761
RE1,IMPPET,2029,347.1636
RE1,IMPPET,2030,378.251
RE1,IMPPET,2031,409.3385
RE1,IMPPET,2032,440.4259
RE1,IMPPET,2033,471.5134
RE1,IMPPET,2034,502.6008
RE1,IMPPET,2035,533.6883
RE1,IMPPET,2036,564.7757
RE1,IMPPET,2037,595.8632
RE1,IMPPET,2038,626.9506
RE1,IMPPET,2039,658.0381
RE1,IMPPET,2040,689.1255
RE1,IMPPET,2041,720.213
RE1,IMPPET,2042,751.3004
RE1,IMPPET,2043,782.3879
RE1,IMPPET,2044,813.4753
RE1,IMPPET,2045,844.5628
RE1,IMPPET,2046,875.6502
RE1,IMPPET,2047,906.7377
RE1,IMPPET,2048,937.8251
RE1,IMPPET,2049,968.9126
RE1,IMPPET,2050,1000.0
RE1,DEMTRAPET,2020,94.855
RE1,DEMTRAPET,2021,98.464
RE1,DEMTRAPET,2022,129.5514
RE1,DEMTRAPET,2023,160.6389
RE1,DEMTRAPET,2024,191.7263
RE1,DEMTRAPET,2025,222.8138
RE1,DEMTRAPET,2026,253.9012
RE1,DEMTRAPET,2027,284.9887
RE1,DEMTRAPET,2028,316.0761
RE1,DEMTRAPET,2029,347.1636
RE1,DEMTRAPET,2030,378.251
RE1,DEMTRAPET,2031,409.3385
RE1,DEMTRAPET,2032,440.4259
RE1,DEMTRAPET,2033,471.5134
RE1,DEMTRAPET,2034,502.6008
RE1,DEMTRAPET,2035,533.6883
RE1,DEMTRAPET,2036,564.7757
RE1,DEMTRAPET,2037,595.8632
RE1,DEMTRAPET,2038,626.9506
RE1,DEMTRAPET,2039,658.0381
RE1,DEMTRAPET,2040,689.1255
RE1,DEMTRAPET,2041,720.213
RE1,DEMTRAPET,2042,751.3004
RE1,DEMTRAPET,2043,782.3879
RE1,DEMTRAPET,2044,813.4753
RE1,DEMTRAPET,2045,844.5628
RE1,DEMTRAPET,2046,875.6502
RE1,DEMTRAPET,2047,906.7377
RE1,DEMTRAPET,2048,937.8251
RE1,DEMTRAPET,2049,968.9126
RE1,DEMTRAPET,2050,1000.0
RE1,DEMRESBIO,2020,1552.323
RE1,DEMRESBIO,2021,1593.28
RE1,DEMRESBIO,2022,1611.817
RE1,DEMRESBIO,2023,1629.3043
RE1,DEMRESBIO,2024,1646.8485
RE1,DEMRESBIO,2025,1664.4312
RE1,DEMRESBIO,2026,1680.939
RE1,DEMRESBIO,2027,1697.699
RE1,DEMRESBIO,2028,1713.8618
RE1,DEMRESBIO,2029,1731.3405
RE1,DEMRESBIO,2030,1747.5713
RE1,DEMRESBIO,2031,1740.3228
RE1,DEMRESBIO,2032,1732.8244
RE1,DEMRESBIO,2033,1725.6537
