REGION,FUEL,TECHNOLOGY,YEAR,MODE_OF_OPERATION,TIMESLICE,VALUE
RE1,AGRWAT,LNDMAIIRR,2033,1,SD,0.0644
RE1,AGRWAT,LNDMAIIRR,2034,1,SD,0.0677
RE1,AGRWAT,LNDMAIIRR,2035,1,SD,0.071
RE1,LND,LNDMAIIRR,2020,1,SD,0.1139
RE1,LND,LNDMAIIRR,2021,1,SD,0.1196
RE1,LND,LNDMAIIRR,2022,1,SD,0.1256
RE1,LND,LNDMAIIRR,2023,1,SD,0.1318
RE1,LND,LNDMAIIRR,2024,1,SD,0.1385
RE1,LND,LNDMAIIRR,2025,1,SD,0.1454
RE1,LND,LNDMAIIRR,2026,1,SD,0.1526
RE1,LND,LNDMAIIRR,2027,1,SD,0.1603
RE1,LND,LNDMAIIRR,2028,1,SD,0.1683
RE1,LND,LNDMAIIRR,2029,1,SD,0.1767
RE1,LND,LNDMAIIRR,2030,1,SD,0.1855
RE1,LND,LNDMAIIRR,2031,1,SD,0.1948
RE1,LND,LNDMAIIRR,2032,1,SD,0.2046
RE1,LND,LNDMAIIRR,2033,1,SD,0.2148
RE1,LND,LNDMAIIRR,2034,1,SD,0.2255
RE1,LND,LNDMAIIRR,2035,1,SD,0.2368
RE1,WTRPRC,LNDMAIIRR,2020,1,SD,0.1367
RE1,WTRPRC,LNDMAIIRR,2021,1,SD,0.1435
RE1,WTRPRC,LNDMAIIRR,2022,1,SD,0.1507
RE1,WTRPRC,LNDMAIIRR,2023,1,SD,0.1582
RE1,WTRPRC,LNDMAIIRR,2024,1,SD,0.1662
RE1,WTRPRC,LNDMAIIRR,2025,1,SD,0.1745
RE1,WTRPRC,LNDMAIIRR,2026,1,SD,0.1832
RE1,WTRPRC,LNDMAIIRR,2027,1,SD,0.1923
RE1,WTRPRC,LNDMAIIRR,2028,1,SD,0.202
RE1,WTRPRC,LNDMAIIRR,2029,1,SD,0.212
RE1,WTRPRC,LNDMAIIRR,2030,1,SD,0.2226
RE1,WTRPRC,LNDMAIIRR,2031,1,SD,0.2338
RE1,WTRPRC,LNDMAIIRR,2032,1,SD,0.2455
RE1,WTRPRC,LNDMAIIRR,2033,1,SD,0.2577
RE1,WTRPRC,LNDMAIIRR,2034,1,SD,0.2706
RE1,WTRPRC,LNDMAIIRR,2035,1,SD,0.2842
RE1,AGRDSL,LNDMAIRNF,2020,1,SD,0.4036
RE1,AGRDSL,LNDMAIRNF,2021,1,SD,0.4136
RE1,AGRDSL,LNDMAIRNF,2022,1,SD,0.4239
RE1,AGRDSL,LNDMAIRNF,2023,1,SD,0.4338
RE1,AGRDSL,LNDMAIRNF,2024,1,SD,0.4438
RE1,AGRDSL,LNDMAIRNF,2025,1,SD,0.4568
RE1,AGRDSL,LNDMAIRNF,2026,1,SD,0.4666
RE1,AGRDSL,LNDMAIRNF,2027,1,SD,0.4765
RE1,AGRDSL,LNDMAIRNF,2028,1,SD,0.4894
RE1,AGRDSL,LNDMAIRNF,2029,1,SD,0.5022
RE1,AGRDSL,LNDMAIRNF,2030,1,SD,0.515
RE1,AGRDSL,LNDMAIRNF,2031,1,SD,0.5277
RE1,AGRDSL,LNDMAIRNF,2032,1,SD,0.5402
RE1,AGRDSL,LNDMAIRNF,2033,1,SD,0.5526
RE1,AGRDSL,LNDMAIRNF,2034,1,SD,0.5647
RE1,AGRDSL,LNDMAIRNF,2035,1,SD,0.5769
RE1,LND,LNDMAIRNF,2020,1,SD,1.3729
RE1,LND,LNDMAIRNF,2021,1,SD,1.4069
RE1,LND,LNDMAIRNF,2022,1,SD,1.4418
RE1,LND,LNDMAIRNF,2023,1,SD,1.4754
RE1,LND,LNDMAIRNF,2024,1,SD,1.5095
RE1,LND,LNDMAIRNF,2025,1,SD,1.5539
RE1,LND,LNDMAIRNF,2026,1,SD,1.5871
RE1,LND,LNDMAIRNF,2027,1,SD,1.6208
RE1,LND,LNDMAIRNF,2028,1,SD,1.6647
RE1,LND,LNDMAIRNF,2029,1,SD,1.708
RE1,LND,LNDMAIRNF,2030,1,SD,1.7518
RE1,LND,LNDMAIRNF,2031,1,SD,1.795
RE1,LND,LNDMAIRNF,2032,1,SD,1.8376
RE1,LND,LNDMAIRNF,2033,1,SD,1.8794
RE1,LND,LNDMAIRNF,2034,1,SD,1.9206
RE1,LND,LNDMAIRNF,2035,1,SD,1.9621
RE1,WTRPRC,LNDMAIRNF,2020,1,SD,1.6475
RE1,WTRPRC,LNDMAIRNF,2021,1,SD,1.6883
RE1,WTRPRC,LNDMAIRNF,2022,1,SD,1.7302
RE1,WTRPRC,LNDMAIRNF,2023,1,SD,1.7705
RE1,WTRPRC,LNDMAIRNF,2024,1,SD,1.8114
RE1,WTRPRC,LNDMAIRNF,2025,1,SD,1.8647
RE1,WTRPRC,LNDMAIRNF,2026,1,SD,1.9045
RE1,WTRPRC,LNDMAIRNF,2027,1,SD,1.9449
RE1,WTRPRC,LNDMAIRNF,2028,1,SD,1.9976
RE1,WTRPRC,LNDMAIRNF,2029,1,SD,2.0496
RE1,WTRPRC,LNDMAIRNF,2030,1,SD,2.1022
RE1,WTRPRC,LNDMAIRNF,2031,1,SD,2.154
RE1,WTRPRC,LNDMAIRNF,2032,1,SD,2.2051
RE1,WTRPRC,LNDMAIRNF,2033,1,SD,2.2553
RE1,WTRPRC,LNDMAIRNF,2034,1,SD,2.3048
RE1,WTRPRC,LNDMAIRNF,2035,1,SD,2.3545
RE1,AGRDSL,LNDRICIRR,2020,1,SD,0.0874
RE1,AGRDSL,LNDRICIRR,2021,1,SD,0.0918
RE1,AGRDSL,LNDRICIRR,2022,1,SD,0.0964
RE1,AGRDSL,LNDRICIRR,2023,1,SD,0.1012
RE1,AGRDSL,LNDRICIRR,2024,1,SD,0.1063
RE1,AGRDSL,LNDRICIRR,2025,1,SD,0.1116
RE1,AGRDSL,LNDRICIRR,2026,1,SD,0.1172
RE1,AGRDSL,LNDRICIRR,2027,1,SD,0.123
RE1,AGRDSL,LNDRICIRR,2028,1,SD,0.1292
RE1,AGRDSL,LNDRICIRR,2029,1,SD,0.1356
RE1,AGRDSL,LNDRICIRR,2030,1,SD,0.1424
RE1,AGRDSL,LNDRICIRR,2031,1,SD,0.1495
RE1,AGRDSL,LNDRICIRR,2032,1,SD,0.157
RE1,AGRDSL,LNDRICIRR,2033,1,SD,0.1649
RE1,AGRDSL,LNDRICIRR,2034,1,SD,0.1731
RE1,AGRDSL,LNDRICIRR,2035,1,SD,0.1817
RE1,AGRWAT,LNDRICIRR,2020,1,SD,0.0803
RE1,AGRWAT,LNDRICIRR,2021,1,SD,0.0843
RE1,AGRWAT,LNDRICIRR,2022,1,SD,0.0885
RE1,AGRWAT,LNDRICIRR,2023,1,SD,0.0929
RE1,AGRWAT,LNDRICIRR,2024,1,SD,0.0976
RE1,AGRWAT,LNDRICIRR,2025,1,SD,0.1025
RE1,AGRWAT,LNDRICIRR,2026,1,SD,0.1076
RE1,AGRWAT,LNDRICIRR,2027,1,SD,0.113
RE1,AGRWAT,LNDRICIRR,2028,1,SD,0.1186
RE1,AGRWAT,LNDRICIRR,2029,1,SD,0.1246
RE1,AGRWAT,LNDRICIRR,2030,1,SD,0.1308
RE1,AGRWAT,LNDRICIRR,2031,1,SD,0.1373
RE1,AGRWAT,LNDRICIRR,2032,1,SD,0.1442
RE1,AGRWAT,LNDRICIRR,2033,1,SD,0.1514
RE1,AGRWAT,LNDRICIRR,2034,1,SD,0.159
RE1,AGRWAT,LNDRICIRR,2035,1,SD,0.1669
RE1,LND,LNDRICIRR,2020,1,SD,0.1784
RE1,LND,LNDRICIRR,2021,1,SD,0.1874
RE1,LND,LNDRICIRR,2022,1,SD,0.1967
RE1,LND,LNDRICIRR,2023,1,SD,0.2065
RE1,LND,LNDRICIRR,2024,1,SD,0.2169
RE1,LND,LNDRICIRR,2025,1,SD,0.2277
RE1,LND,LNDRICIRR,2026,1,SD,0.2391
RE1,LND,LNDRICIRR,2027,1,SD,0.2511
RE1,LND,LNDRICIRR,2028,1,SD,0.2636
RE1,LND,LNDRICIRR,2029,1,SD,0.2768
RE1,LND,LNDRICIRR,2030,1,SD,0.2906
RE1,LND,LNDRICIRR,2031,1,SD,0.3052
RE1,LND,LNDRICIRR,2032,1,SD,0.3204
RE1,LND,LNDRICIRR,2033,1,SD,0.3364
RE1,LND,LNDRICIRR,2034,1,SD,0.3532
RE1,LND,LNDRICIRR,2035,1,SD,0.3709
RE1,WTRPRC,LNDRICIRR,2020,1,SD,0.2141
RE1,WTRPRC,LNDRICIRR,2021,1,SD,0.2248
RE1,WTRPRC,LNDRICIRR,2022,1,SD,0.236
RE1,WTRPRC,LNDRICIRR,2023,1,SD,0.2478
RE1,WTRPRC,LNDRICIRR,2024,1,SD,0.2602
RE1,WTRPRC,LNDRICIRR,2025,1,SD,0.2732
RE1,WTRPRC,LNDRICIRR,2026,1,SD,0.2869
RE1,WTRPRC,LNDRICIRR,2027,1,SD,0.3013
RE1,WTRPRC,LNDRICIRR,2028,1,SD,0.3163
RE1,WTRPRC,LNDRICIRR,2029,1,SD,0.3322
RE1,WTRPRC,LNDRICIRR,2030,1,SD,0.3487
RE1,WTRPRC,LNDRICIRR,2031,1,SD,0.3662
RE1,WTRPRC,LNDRICIRR,2032,1,SD,0.3845
RE1,WTRPRC,LNDRICIRR,2033,1,SD,0.4037
RE1,WTRPRC,LNDRICIRR,2034,1,SD,0.4239
RE1,WTRPRC,LNDRICIRR,2035,1,SD,0.4451
RE1,AGRDSL,LNDRICRNF,2020,1,SD,0.1406
RE1,AGRDSL,LNDRICRNF,2021,1,SD,0.1404
RE1,AGRDSL,LNDRICRNF,2022,1,SD,0.1402
RE1,AGRDSL,LNDRICRNF,2023,1,SD,0.1399
RE1,AGRDSL,LNDRICRNF,2024,1,SD,0.1396
RE1,AGRDSL,LNDRICRNF,2025,1,SD,0.139
RE1,AGRDSL,LNDRICRNF,2026,1,SD,0.1382
RE1,AGRDSL,LNDRICRNF,2027,1,SD,0.1372
RE1,AGRDSL,LNDRICRNF,2028,1,SD,0.136
RE1,AGRDSL,LNDRICRNF,2029,1,SD,0.1346
RE1,AGRDSL,LNDRICRNF,2030,1,SD,0.1329
RE1,AGRDSL,LNDRICRNF,2031,1,SD,0.131
RE1,AGRDSL,LNDRICRNF,2032,1,SD,0.1289
