REGION,TIMESLICE,FUEL,YEAR,VALUE
RE1,S11,TRABIO,2021,0
RE1,S11,TRABIO,2022,0
RE1,S11,TRABIO,2023,0
RE1,S11,TRABIO,2024,0
RE1,S11,TRABIO,2025,0
RE1,S11,TRABIO,2026,0
RE1,S11,TRABIO,2027,0
RE1,S11,TRABIO,2028,0
RE1,S11,TRABIO,2029,0
RE1,S11,TRABIO,2030,0
RE1,S11,TRABIO,2031,0
RE1,S11,TRABIO,2032,0
RE1,S11,TRABIO,2033,0
RE1,S11,TRABIO,2034,0
RE1,S11,TRABIO,2035,0
RE1,S11,TRABIO,2036,0
RE1,S11,TRABIO,2037,0
RE1,S11,TRABIO,2038,0
RE1,S11,TRABIO,2039,0
RE1,S11,TRABIO,2040,0
RE1,S11,TRABIO,2041,0
RE1,S11,TRABIO,2042,0
RE1,S11,TRABIO,2043,0
RE1,S11,TRABIO,2044,0
RE1,S11,TRABIO,2045,0
RE1,S11,TRABIO,2046,0
RE1,S11,TRABIO,2047,0
RE1,S11,TRABIO,2048,0
RE1,S11,TRABIO,2049,0
RE1,S11,TRABIO,2050,0
RE1,S11,LFOR,2020,0
RE1,S11,LFOR,2021,0
RE1,S11,LFOR,2022,0
RE1,S11,LFOR,2023,0
RE1,S11,LFOR,2024,0
RE1,S11,LFOR,2025,0
RE1,S11,LFOR,2026,0
RE1,S11,LFOR,2027,0
RE1,S11,LFOR,2028,0
RE1,S11,LFOR,2029,0
RE1,S11,LFOR,2030,0
RE1,S11,LFOR,2031,0
RE1,S11,LFOR,2032,0
RE1,S11,LFOR,2033,0
RE1,S11,LFOR,2034,0
RE1,S11,LFOR,2035,0
RE1,S11,LFOR,2036,0
RE1,S11,LFOR,2037,0
RE1,S11,LFOR,2038,0
RE1,S11,LFOR,2039,0
RE1,S11,LFOR,2040,0
RE1,S11,LFOR,2041,0
RE1,S11,LFOR,2042,0
RE1,S11,LFOR,2043,0
RE1,S11,LFOR,2044,0
RE1,S11,LFOR,2045,0
RE1,S11,LFOR,2046,0
RE1,S11,LFOR,2047,0
RE1,S11,LFOR,2048,0
RE1,S11,LFOR,2049,0
RE1,S11,LFOR,2050,0
RE1,S11,LBLT,2020,0
RE1,S11,LBLT,2021,0
RE1,S11,LBLT,2022,0
RE1,S11,LBLT,2023,0
RE1,S11,LBLT,2024,0
RE1,S11,LBLT,2025,0
RE1,S11,LBLT,2026,0
RE1,S11,LBLT,2027,0
RE1,S11,LBLT,2028,0
RE1,S11,LBLT,2029,0
RE1,S11,LBLT,2030,0
RE1,S11,LBLT,2031,0
RE1,S11,LBLT,2032,0
RE1,S11,LBLT,2033,0
RE1,S11,LBLT,2034,0
RE1,S11,LBLT,2035,0
RE1,S11,LBLT,2036,0
RE1,S11,LBLT,2037,0
RE1,S11,LBLT,2038,0
RE1,S11,LBLT,2039,0
RE1,S11,LBLT,2040,0
RE1,S11,LBLT,2041,0
RE1,S11,LBLT,2042,0
RE1,S11,LBLT,2043,0
RE1,S11,LBLT,2044,0
RE1,S11,LBLT,2045,0
RE1,S11,LBLT,2046,0
RE1,S11,LBLT,2047,0
RE1,S11,LBLT,2048,0
RE1,S11,LBLT,2049,0
RE1,S11,LBLT,2050,0
RE1,S11,LWAT,2020,0
RE1,S11,LWAT,2021,0
RE1,S11,LWAT,2022,0
RE1,S11,LWAT,2023,0
RE1,S11,LWAT,2024,0
RE1,S11,LWAT,2025,0
RE1,S11,LWAT,2026,0
RE1,S11,LWAT,2027,0
RE1,S11,LWAT,2028,0
RE1,S11,LWAT,2029,0
RE1,S11,LWAT,2030,0
RE1,S11,LWAT,2031,0
RE1,S11,LWAT,2032,0
RE1,S11,LWAT,2033,0
RE1,S11,LWAT,2034,0
RE1,S11,LWAT,2035,0
RE1,S11,LWAT,2036,0
RE1,S11,LWAT,2037,0
RE1,S11,LWAT,2038,0
RE1,S11,LWAT,2039,0
RE1,S11,LWAT,2040,0
RE1,S11,LWAT,2041,0
RE1,S11,LWAT,2042,0
RE1,S11,LWAT,2043,0
RE1,S11,LWAT,2044,0
RE1,S11,LWAT,2045,0
RE1,S11,LWAT,2046,0
RE1,S11,LWAT,2047,0
RE1,S11,LWAT,2048,0
RE1,S11,LWAT,2049,0
RE1,S11,LWAT,2050,0
RE1,S11,LOTH,2020,0
RE1,S11,LOTH,2021,0
RE1,S11,LOTH,2022,0
RE1,S11,LOTH,2023,0
RE1,S11,LOTH,2024,0
RE1,S11,LOTH,2025,0
RE1,S11,LOTH,2026,0
RE1,S11,LOTH,2027,0
RE1,S11,LOTH,2028,0
RE1,S11,LOTH,2029,0
RE1,S11,LOTH,2030,0
RE1,S11,LOTH,2031,0
RE1,S11,LOTH,2032,0
RE1,S11,LOTH,2033,0
RE1,S11,LOTH,2034,0
RE1,S11,LOTH,2035,0
RE1,S11,LOTH,2036,0
RE1,S11,LOTH,2037,0
RE1,S11,LOTH,2038,0
RE1,S11,LOTH,2039,0
RE1,S11,LOTH,2040,0
RE1,S11,LOTH,2041,0
RE1,S11,LOTH,2042,0
RE1,S11,LOTH,2043,0
RE1,S11,LOTH,2044,0
RE1,S11,LOTH,2045,0
RE1,S11,LOTH,2046,0
RE1,S11,LOTH,2047,0
RE1,S11,LOTH,2048,0
RE1,S11,LOTH,2049,0
RE1,S11,LOTH,2050,0
RE1,S11,CRPSGC,2020,0
RE1,S11,CRPSGC,2021,0
RE1,S11,CRPSGC,2022,0
RE1,S11,CRPSGC,2023,0
